,0
0,0.0
1,0.0
2,66.08965055100006
3,2458.3780668327922
4,2436.99183821104
5,2484.532459922002
6,3055.1059481060156
7,2821.905503424129
8,3402.1666299037893
9,2814.5486731710557
10,2361.4725071649796
11,2383.127700399012
12,2597.1138297170455
13,2864.4749342359282
14,2613.312024405031
15,2634.2472606770284
16,2425.589576764747
17,2432.2050827810585
18,2152.447699386067
19,2055.6344915234276
20,2137.96409523704
21,2143.206198160058
22,2045.8417245230164
23,2229.910883160065
24,2328.10126041499
25,2277.927935833032
26,2262.2433551839613
27,2356.6444125300504
28,2420.6463454800123
29,2503.9590161220412
30,2255.538904385741
31,2164.3404752710217
32,2164.1997564950148
33,2183.0594081439926
34,2099.9757967070486
35,2098.92193492505
36,2265.6923780090347
37,2343.813153574979
38,2212.1203116410406
39,2243.833789800736
40,2265.732988279712
41,2338.5712407490823
42,2322.9464605797693
43,2322.943619528947
44,2275.121222459945
45,2223.873469615762
46,2250.141315282027
47,2294.90243214246
48,2276.227304185135
49,2303.286113890097
50,2159.2755020110376
51,2225.1486781000845
52,2198.6370098451002
53,2115.184842962052
54,2347.382385344087
55,2244.286094113092
56,2236.6638210767755
57,2184.0907392790787
58,2105.7918172631043
59,2071.8442136190347
60,2073.0615065330094
61,2121.2280144600463
62,2159.6921713180336
63,2164.7098386690714
64,2161.728119985746
65,2382.1293698382424
66,2182.482279176445
67,2242.680036305782
68,2118.2591798972007
69,2287.1900937502555
70,2198.545883685048
71,2122.250208021039
72,2018.1961801610662
73,2211.568477986091
74,2140.4359286020563
75,2276.4529568661105
76,2172.5136902060945
77,2080.6534306540652
78,1901.8202014929961
79,1952.5196981120587
80,2005.814145785083
81,2057.2715690890545
82,2070.903955933049
83,2009.9786453941217
84,1983.700861017085
85,2164.618930256778
86,2244.981519856861
87,2232.564929702061
88,2213.1689268157165
89,2115.691077100067
90,2151.6224627780584
91,2263.7423627598287
92,2267.426462165094
93,2340.887036399076
94,2344.419602182134
95,2485.031909822802
96,2745.741339370031
97,2603.8575151161444
98,2516.554516056166
99,2575.27881970484
100,2518.052135992475
101,2481.5472227550836
102,2430.357441688125
103,2397.1317491741574
104,2344.0121094470833
105,2392.8283985811313
106,2575.5135408908104
107,2365.7309363921236
108,2699.9100478396126
109,2662.7164983010834
110,2452.2581463130887
111,2769.010864247484
112,3011.710758709548
113,2630.315922896753
114,2411.5479423231263
115,2292.415142729085
116,2306.3736983520944
117,2492.6194180440925
118,2421.237404639102
119,2367.2700827120575
120,2378.5310589630567
121,2341.761324801023
122,2395.361490560068
123,2441.0327470150446
124,2438.289017119751
125,2468.6259136490858
126,2435.5628891040956
127,2374.3473249048393
128,2521.9661428211934
129,2588.8517781910095
130,3167.09212707352
131,3296.9562034537475
132,3323.398045756492
133,3280.6017859767508
134,2826.626967860077
135,2448.896544159075
136,2370.086779733107
137,2395.685624132754
138,2451.338418992126
139,2541.7629234160568
140,2542.9539574161618
141,2575.4120611578305
142,2515.7832318397404
143,2495.4601372330267
144,2405.7807945800537
145,2371.1824243867823
146,2395.912744147815
147,2428.805580706074
148,2402.08579343281
149,2389.5242170830265
150,2448.0969531530677
151,2387.98425012906
152,2414.8812350931084
153,2735.4666766720293
154,2882.5983657156858
155,3075.009242933632
156,3042.350399388754
157,2946.5322808276937
158,2963.1031678377994
159,2891.5366079285086
160,3242.0419661745045
161,2867.55854522705
162,2940.5376431057457
163,2871.2324980550125
164,2926.7978343830528
165,3010.4272652089585
166,3023.8059419476967
167,2959.991393546345
168,3136.921410933719
169,3179.631192006831
170,3409.4527292910097
171,3785.479792250606
172,3074.0812321969684
173,2992.6263270590366
174,3039.5497543829656
175,3098.737416041377
176,2927.382721822669
177,2890.006391709377
178,2861.312749988675
179,2931.8019882664116
180,3267.6941054767044
181,3198.8512158788453
182,2958.7786770166026
183,2848.152143906969
184,2739.6547312536886
185,2652.437721371363
186,2844.5926082216824
187,2606.757708130615
188,2828.9037767306254
189,2515.252788295945
190,2574.4286416756
191,2590.964946345915
192,2652.8321493667345
193,2548.7877002928694
194,2739.6419592973134
195,2716.1831761143276
196,2838.303483935601
197,2771.424687698838
198,2796.0687229189134
199,2825.831284142614
200,2890.418940803637
201,2905.1055028817045
202,2820.3971801419916
203,2747.9135182249533
204,2744.711211176597
205,2864.795182782287
206,2866.5956046288657
207,2833.542134422563
208,2765.9775157429344
209,2779.5401393638717
210,2843.182958852892
211,3105.422225007074
212,3054.888056984034
213,3016.6118073996868
214,3068.798594244668
215,2978.0441616443745
216,3055.226734265361
217,3169.2506847956697
218,3266.8788440980197
219,3229.2584845477813
220,3593.440541386583
221,3210.7898210617714
222,3224.250628590417
223,3349.089273632338
224,3437.3602601844195
225,3294.804468299969
226,3334.555093726281
227,3376.6323770545514
228,3352.235161083913
229,3354.0125302515844
230,3358.0052482942106
231,3312.2597771440296
232,3409.7066770705446
233,3356.1569412876365
234,3351.7521112879317
235,3291.3616641855047
236,3367.4131909796256
237,3446.042834327039
238,3469.105364110557
239,3556.8651467462764
240,3422.6023611217115
241,3407.7591357419037
242,3314.385337443271
243,3347.0313635169978
244,3601.0389078577846
245,3528.7514884511156
246,3412.246579293042
247,3075.039230039838
248,3204.2498266906896
249,3118.8389206536463
250,3082.707747003986
251,3139.4402750329377
252,2943.3013904706445
253,2969.1933652662456
254,3010.73825786048
255,3067.8801739606783
256,3005.8980177796443
257,3038.295592372586
258,3118.7720438513606
259,3090.5455163397382
260,3181.0366939647756
261,3281.6775421417715
262,3210.1480401973977
263,3236.559171831475
264,3190.4351445058655
265,3187.357911555647
266,3162.3949551819637
267,3256.6662984219024
268,3314.598737083379
269,3120.0131256776995
270,3154.1662337649223
271,3336.4767271056116
272,3226.098447225931
273,3295.1736210369077
274,3178.586330991944
275,3144.7156043539126
276,3241.975150047871
277,3149.3331953585734
278,3056.942854327984
279,3063.3932760666053
280,3067.6716703459733
281,3023.601618344675
282,2985.9089426849664
283,2603.3541123378777
284,2658.171112058696
285,3029.1908937910584
286,3127.3549772377846
287,2825.0423218139485
288,2942.87317293601
289,3110.212438316993
290,3108.61970957959
291,2992.0730054088954
292,2892.232168044856
293,3004.818028519939
294,2970.370575293255
295,3176.433339451755
296,3597.44929435934
297,3670.8288328018584
298,3521.6892192619052
299,3610.672111786275
300,3292.2870637229025
301,3039.0282111978804
302,3163.295175879002
303,3500.9720678775843
304,3332.1722927979304
305,2944.61321221293
306,3293.4026624989715
307,3194.703622632918
308,3549.2870400480565
309,3667.952359593239
310,3473.349849348286
311,3404.4419862622167
312,3229.165832408526
313,3309.6014272409493
314,3117.550507551185
315,3229.9891850797826
316,3102.5334645101793
317,3030.683418896103
318,3059.802567325231
319,2826.353070971152
320,2825.014246063932
321,2750.8619485518047
322,2807.1982142720135
323,2928.006912769231
324,2865.409197693744
325,3078.4254634097233
